序号,发行人_链接,发行人,文件名称_链接,文件名称,披露日期
11,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1310,吉林省中研高分子材料股份有限公司,http://static.sse.com.cn/stock/information/c/202212/05d45c4180044a969bf618468a504ef1.pdf,8-3 补充法律意见书（一）,2022-12-07
12,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1310,吉林省中研高分子材料股份有限公司,http://static.sse.com.cn/stock/information/c/202212/5aaff2e6cf7b43808b2658e4f1b15aca.pdf,8-2 会计师回复意见,2022-12-07
13,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1094,上海英方软件股份有限公司,http://static.sse.com.cn/stock/information/c/202212/b8ad21bbf5d448fd99c9d9b831e33fb3.pdf,8-1 发行人及保荐机构关于发行注册环节反馈意见落实函的回复,2022-12-07
14,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1094,上海英方软件股份有限公司,http://static.sse.com.cn/stock/information/c/202212/3f7c52b3ca784dee8bb63a2889b2933b.pdf,8-2 会计师关于发行注册环节反馈意见落实函的回复,2022-12-07
15,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1142,广州慧智微电子股份有限公司,http://static.sse.com.cn/stock/information/c/202212/5a5b986754eb4ec49695cf81fed5cc1d.pdf,8-1 发行人及保荐机构关于上市委会议意见的回复,2022-12-07
16,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1199,航天南湖电子信息技术股份有限公司,http://static.sse.com.cn/stock/information/c/202212/060415e4896548e3aed61b953196aee2.pdf,8-1 发行人及保荐机构关于上市委会议意见落实函的回复报告,2022-12-05
17,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1257,上海新相微电子股份有限公司,http://static.sse.com.cn/stock/information/c/202212/10c546fffec34130b07c880713ce2460.pdf,8-1 发行人及保荐机构关于上市委会议意见落实函的回复,2022-12-03
18,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1257,上海新相微电子股份有限公司,http://static.sse.com.cn/stock/information/c/202212/63e1d78078274e5189d77ad72df63232.pdf,8-3 发行人律师关于本次发行上市的补充法律意见书（五）,2022-12-03
19,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1026,安徽安芯电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/2ca2c39a90c04f669ebd86c6beed378e.pdf,8-1 发行人及保荐机构回复意见（2022年半年报更新）,2022-12-02
20,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1026,安徽安芯电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/4409905f68704c1e85db4b5c9767f37f.pdf,8-1 发行人及保荐机构第二轮反馈意见回复（2022年半年报更新）,2022-12-02
21,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1026,安徽安芯电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/2fe640c57da2474ab9c0a3e26e60de6b.pdf,8-2 会计师回复意见（2022年半年报更新）,2022-12-02
22,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1026,安徽安芯电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/a8724fd4a9b74db4853f9c5d94f0a574.pdf,8-2 会计师回复意见（二）（2022年半年报更新）,2022-12-02
23,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1026,安徽安芯电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/70b350850d754940b9dfe10f650e7a97.pdf,8-3 补充法律意见书（五）,2022-12-02
24,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1026,安徽安芯电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/79dd2b64b15444cd8fefb15ceb1a655c.pdf,发行人及保荐机构关于审核中心意见落实函之回复（2022年半年报更新）,2022-12-02
25,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1026,安徽安芯电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/189014127f49437cb4e141c8953c1caa.pdf,发行人及保荐机构关于科创板上市委审议会议意见落实函的回复(2022年半年报更新),2022-12-02
26,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1297,山东中创软件商用中间件股份有限公司,http://static.sse.com.cn/stock/information/c/202212/af84179e85174e1f83709340132946fe.pdf,8-2-2 申报会计师关于二轮问询函的回复,2022-12-01
27,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1297,山东中创软件商用中间件股份有限公司,http://static.sse.com.cn/stock/information/c/202212/8dcb6c78b067437f9e90ef8400b11276.pdf,8-3-2 补充法律意见书（二）,2022-12-01
28,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1297,山东中创软件商用中间件股份有限公司,http://static.sse.com.cn/stock/information/c/202212/2f35fa645f274be483e68f86ad39f806.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复,2022-12-01
29,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1273,浙江艾罗网络能源技术股份有限公司,http://static.sse.com.cn/stock/information/c/202212/7ddd362f97194219b66dda5d6aaf165e.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2022-12-01
30,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1273,浙江艾罗网络能源技术股份有限公司,http://static.sse.com.cn/stock/information/c/202212/cb8a53d28b774341be0e63a450744a9e.pdf,8-2 会计师回复意见,2022-12-01
31,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1273,浙江艾罗网络能源技术股份有限公司,http://static.sse.com.cn/stock/information/c/202212/20c24956f42e41738afab4c3fdecbec2.pdf,8-3 补充法律意见书（一）,2022-12-01
32,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1268,武汉达梦数据库股份有限公司,http://static.sse.com.cn/stock/information/c/202212/1bcd7ccd5b4f4140a8657b1115bbdfc3.pdf,8-2 申报会计师回复意见（二）,2022-12-01
33,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1268,武汉达梦数据库股份有限公司,http://static.sse.com.cn/stock/information/c/202212/6755503f886343b38281b42f6ba6037e.pdf,8-2 申报会计师回复意见（一）（2022半年度财务数据更新）,2022-12-01
34,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1268,武汉达梦数据库股份有限公司,http://static.sse.com.cn/stock/information/c/202212/4081d7b46fef42a888ada68a20d34acc.pdf,8-3 补充法律意见书（二）,2022-12-01
35,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1268,武汉达梦数据库股份有限公司,http://static.sse.com.cn/stock/information/c/202212/1caeb9751ec24752b7dda769061fa1e3.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复意见,2022-12-01
36,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1268,武汉达梦数据库股份有限公司,http://static.sse.com.cn/stock/information/c/202212/1d8adb1dc8154690b0bfb12afbd42f7b.pdf,8-1 发行人及保荐机构关于首轮审核问询函的回复意见（2022半年度财务数据更新）,2022-12-01
37,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1248,远江盛邦（北京）网络安全科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/e1a77e10795a4290aae44cd417a7740e.pdf,8-1-2 发行人及保荐机构关于盛邦安全首次公开发行股票并在科创板上市申请文件的第二轮审核问询函的回复,2022-12-01
38,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1248,远江盛邦（北京）网络安全科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/ea22f54fa6d3445fb9c49407b0e4b0ee.pdf,8-2-2 会计师事务所关于盛邦安全首次公开发行股票并在科创板上市申请文件的第二轮审核问询函有关财务问题回复的专项说明,2022-12-01
39,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1248,远江盛邦（北京）网络安全科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/86c26a25c2714c13aedce90e35488a84.pdf,8-3-2 律师事务所关于盛邦安全首次公开发行股票并在科创板上市的补充法律意见书(三),2022-12-01
40,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1174,碧兴物联科技（深圳）股份有限公司,http://static.sse.com.cn/stock/information/c/202212/600a42169dd849fca7ac803119e33b40.pdf,8-1-1 发行人及保荐机构关于审核问询函的回复意见（2022年半年报财务数据更新版）,2022-12-01
41,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1174,碧兴物联科技（深圳）股份有限公司,http://static.sse.com.cn/stock/information/c/202212/aae66d80cec64c74ae55456732fb22cf.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复意见,2022-12-01
42,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1174,碧兴物联科技（深圳）股份有限公司,http://static.sse.com.cn/stock/information/c/202212/5dad0b4a2af546c2807d8e5d679ff661.pdf,8-2-2 会计师关于第二轮审核问询函的回复意见,2022-12-01
43,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1174,碧兴物联科技（深圳）股份有限公司,http://static.sse.com.cn/stock/information/c/202212/df45d7392b3844d28bd0acc428a0d101.pdf,8-3 律师补充法律意见书（三）,2022-12-01
44,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1275,四川华丰科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/206ab61a32794867aa4360d54387d086.pdf,8-1 发行人及保荐机构第二轮回复意见,2022-11-30
45,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1275,四川华丰科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/455cbd5934ae4bcea38fbeb06064385b.pdf,8-2会计师第二轮回复意见,2022-11-30
46,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1275,四川华丰科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/5f966ba2720e4468aebfd91f59aac4c6.pdf,8-3 补充法律意见书（三）,2022-11-30
47,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1044,四川百利天恒药业股份有限公司,http://static.sse.com.cn/stock/information/c/202212/c52b774114594439a50ddb6fee8e524e.pdf,8-1 发行人及保荐机构关于发行注册环节反馈意见落实函的回复,2022-11-30
48,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1044,四川百利天恒药业股份有限公司,http://static.sse.com.cn/stock/information/c/202212/a5d000ff17ef46db98fbb088671ff76d.pdf,8-2 会计师关于发行注册环节反馈意见落实函的回复,2022-11-30
49,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1095,浙江太美医疗科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/d5d95412a99f4a2080f731617b3624e8.pdf,8-1-2 发行人及保荐机构关于浙江太美医疗科技股份有限公司首次公开发行股票并在科创板上市申请文件的第二轮审核问询函的回复,2022-11-30
50,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1095,浙江太美医疗科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/e460190bec7d48809bf60fcb33f639d0.pdf,8-2-2 会计师关于第二轮审核问询函的回复,2022-11-30
51,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1211,重庆西山科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/7291877c1fff4ffa978e12a9d52e0c45.pdf,8-1-1 发行人及保荐机构第一轮问询函回复意见（2022年半年度数据更新版）（修订版）,2022-11-30
52,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1187,湖南航天环宇通信科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/be7dc26e2bde489ab2a342474fdc5668.pdf,8-1 发行人及保荐机构关于审核中心意见落实函的回复,2022-11-30
53,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1187,湖南航天环宇通信科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/8694363f4b124b34927a41607627b650.pdf,8-3 补充法律意见书（四）,2022-11-30
54,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1046,重庆山外山血液净化技术股份有限公司,http://static.sse.com.cn/stock/information/c/202212/ee753c71c1b0411baec7c6fffa158119.pdf,8-1 发行人及保荐机构关于发行注册环节反馈意见落实函的回复意见,2022-11-30
55,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1046,重庆山外山血液净化技术股份有限公司,http://static.sse.com.cn/stock/information/c/202212/eadf2ac471bb441c98e4a39e180749e7.pdf,8-3 补充法律意见书（五）,2022-11-30
56,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1046,重庆山外山血液净化技术股份有限公司,http://static.sse.com.cn/stock/information/c/202212/742653eaad244b0ba857bc7597b18ae0.pdf,8-2 申报会计师关于发行注册环节反馈意见落实函的回复意见,2022-11-30
57,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1309,杭州中欣晶圆半导体股份有限公司,http://static.sse.com.cn/stock/information/c/202211/9b7226a6b6e04a4caf0c3d4d58078edd.pdf,8-3 补充法律意见书（一）,2022-11-29
58,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1309,杭州中欣晶圆半导体股份有限公司,http://static.sse.com.cn/stock/information/c/202211/1fcbb19c5fe04a85ba41edb715e2e220.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2022-11-29
59,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1309,杭州中欣晶圆半导体股份有限公司,http://static.sse.com.cn/stock/information/c/202211/7a528a9ef5cd42fb88e91dcfe3210d39.pdf,8-2 会计师关于审核问询函的回复,2022-11-29
60,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1206,常州时创能源股份有限公司,http://static.sse.com.cn/stock/information/c/202211/7c973e754f474ccd83fe2fab9935a27e.pdf,8-1 发行人及保荐机构审核中心意见落实函回复,2022-11-29
61,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1095,浙江太美医疗科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/89f37e4e41ab44e3aa29974f491f8a60.pdf,8-1-1 发行人及保荐机构关于浙江太美医疗科技股份有限公司首次公开发行股票并在科创板上市申请文件的第一轮审核问询函的回复（2022年半年报财务数据更新版）,2022-11-29
62,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1095,浙江太美医疗科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/ef099ed782644988983563a6aef18f66.pdf,8-2-1 会计师关于首轮审核问询函的回复（2022年半年报财务数据更新版）,2022-11-29
63,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1095,浙江太美医疗科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/b1fe19853e644de981f1c3288e999ad7.pdf,8-3-1 律师事务所关于浙江太美医疗科技股份有限公司首次公开发行股票并在科创板上市的补充法律意见书（2022年半年报财务数据更新版）,2022-11-29
64,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1276,广州天极电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/b2547f99a1d640ce996ab83ddf3a6f36.pdf,8-3-1 补充法律意见书之二,2022-11-29
65,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1276,广州天极电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/460293102d924a20a4d1b855b0406d54.pdf,8-3-2 补充法律意见书之三,2022-11-29
66,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1276,广州天极电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/7045546563f34b6aad3e8581d0e81639.pdf,8-2-1会计师回复意见,2022-11-29
67,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1276,广州天极电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/bb3f9a99ce6e491382991741df25717f.pdf,8-2-2会计师第二轮回复意见,2022-11-29
68,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1276,广州天极电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/361dd71ba5d74f208961e54f090e2c3c.pdf,8-1-1发行人及保荐机构回复意见（2022年半年报数据更新）,2022-11-29
69,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1276,广州天极电子科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/94330e6bf6f84abfa530eaf30142a383.pdf,8-1-2 发行人及保荐机构第二轮问询函的回复意见,2022-11-29
70,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1211,重庆西山科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/e5b7489f8ad840eca60830fe6ed5c5ef.pdf,8-1 发行人及保荐机构关于审核中心意见落实函的回复,2022-11-28
71,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1211,重庆西山科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/7f32f5c1f3a74478a2e1b049bcad3f73.pdf,8-2 会计师关于审核中心意见落实函的回复,2022-11-28
72,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1278,明峰医疗系统股份有限公司,http://static.sse.com.cn/stock/information/c/202211/b7e37ecbc76241858be3940b529c3763.pdf,8-1-1 发行人及保荐机构回复意见（2022年半年报财务数据更新版）,2022-11-28
73,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1278,明峰医疗系统股份有限公司,http://static.sse.com.cn/stock/information/c/202211/e8cbf0f2cc9c4b478d7275879da4f679.pdf,8-2-1 会计师关于首轮审核问询函的回复（2022年半年报财务数据更新版）,2022-11-28
74,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1278,明峰医疗系统股份有限公司,http://static.sse.com.cn/stock/information/c/202211/809cd638120644949fc5415e98965f7c.pdf,8-3-1 补充法律意见书（二）,2022-11-28
75,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1062,西安新通药物研究股份有限公司,http://static.sse.com.cn/stock/information/c/202211/046c719f23ad49ccb39562a0d4a4b5bb.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复,2022-11-25
76,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1062,西安新通药物研究股份有限公司,http://static.sse.com.cn/stock/information/c/202211/64bc4ba7faf9433d9ebd19bef6c1be43.pdf,8-3 补充法律意见书（二）,2022-11-25
77,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1062,西安新通药物研究股份有限公司,http://static.sse.com.cn/stock/information/c/202211/03f174e79b15418386a958990e402637.pdf,8-2-2 申报会计师第二轮审核问询函的回复,2022-11-25
78,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1248,远江盛邦（北京）网络安全科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/04a279065d3c4ed0bd64804664465cc4.pdf,8-1-1 发行人及保荐机构关于盛邦安全首次公开发行股票并在科创板上市申请文件的审核问询函的回复（2022年中报财务数据更新版）,2022-11-25
79,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1248,远江盛邦（北京）网络安全科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/e019a05171c04141b7915af6d9c275fc.pdf,8-2-1 会计师事务所关于盛邦安全首次公开发行股票并在科创板上市申请文件的审核问询函有关财务问题回复的专项说明（2022年中报财务数据更新版）,2022-11-25
80,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1248,远江盛邦（北京）网络安全科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/e876cd20670c4bd4aa9c1d0d1200dfcc.pdf,8-3-1 律师事务所关于盛邦安全首次公开发行股票并在科创板上市的补充法律意见书（二）,2022-11-25
81,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1205,武汉逸飞激光股份有限公司,http://static.sse.com.cn/stock/information/c/202211/58dd9f2d4137453ab0daa7dba065a283.pdf,8-1 发行人及保荐机构关于审核中心意见落实函的回复,2022-11-25
82,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1062,西安新通药物研究股份有限公司,http://static.sse.com.cn/stock/information/c/202211/42fd027288f24af29ba99099bc8a7d3d.pdf,8-2-1 申报会计师第一轮审核问询函的回复（豁免版）,2022-11-25
83,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1062,西安新通药物研究股份有限公司,http://static.sse.com.cn/stock/information/c/202211/576c69697ba441ec984def397b20ebd3.pdf,8-1-1 发行人及保荐机构关于西安新通药物研究股份有限公司首次公开发行股票并在科创板上市之申请文件审核问询函的回复（豁免版）,2022-11-25
84,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1062,西安新通药物研究股份有限公司,http://static.sse.com.cn/stock/information/c/202211/2f229653767a4de8badf4b8b84659276.pdf,8-3 补充法律意见书（二）,2022-11-25
85,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1062,西安新通药物研究股份有限公司,http://static.sse.com.cn/stock/information/c/202211/7913ad884e134647bc2ac13702d657c8.pdf,8-4-2 发行人及保荐机构关于西安新通药物研究股份有限公司首次公开发行股票并在科创板上市申请文件的审核问询函回复的修订说明（豁免版）,2022-11-25
86,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1062,西安新通药物研究股份有限公司,http://static.sse.com.cn/stock/information/c/202211/3d977fe940f047abaff15f4f2255f752.pdf,8-4-3 申报会计师第一轮审核问询函的修订说明（豁免版）,2022-11-25
87,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1062,西安新通药物研究股份有限公司,http://static.sse.com.cn/stock/information/c/202211/814db0323a8844d880e2391a46fcabe9.pdf,8-4-4 关于西安新通药物研究股份有限公司首次公开发行股票并在科创板上市之补充法律意见书（一）的修订说明,2022-11-25
88,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1180,苏州锴威特半导体股份有限公司,http://static.sse.com.cn/stock/information/c/202211/ae1e8f95c89740e490787487d172e853.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2022-11-24
89,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1180,苏州锴威特半导体股份有限公司,http://static.sse.com.cn/stock/information/c/202211/3024baf1eeaa4e30ba9892a2beba3a2a.pdf,8-2 申报会计师关于第二轮审核问询函的回复,2022-11-24
90,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1180,苏州锴威特半导体股份有限公司,http://static.sse.com.cn/stock/information/c/202211/84a29245ada5405a97230172f5851c5d.pdf,8-3 补充法律意见书（三）,2022-11-24
91,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1295,苏州光格科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/116274f2ac2a45de9e1188a64c4f9285.pdf,8-3 补充法律意见书（二）,2022-11-23
92,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1295,苏州光格科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/4a5e7e4c4609412b99a1fb9e84de3a9c.pdf,8-1 发行人及保荐机构第二轮问询回复意见,2022-11-23
93,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1295,苏州光格科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/c3b473b6f39a4d34b23ce1c758daf1e8.pdf,8-2 会计师关于第二轮审核问询函的回复,2022-11-23
94,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1059,杭州萤石网络股份有限公司,http://static.sse.com.cn/stock/information/c/202211/433bffe624d84584b6c846f5ca62d0e8.pdf,8-3 律师补充法律意见书（七）,2022-11-23
95,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1059,杭州萤石网络股份有限公司,http://static.sse.com.cn/stock/information/c/202211/f4f3e56cfda84429af9a0f23c62fb3e0.pdf,8-1 发行人及保荐机构关于发行注册环节反馈意见落实函的回复（2022年6月30日财务数据更新版）,2022-11-23
96,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1059,杭州萤石网络股份有限公司,http://static.sse.com.cn/stock/information/c/202211/7beab06ae8b34263890ff61b421a28ed.pdf,8-2 会计师关于发行注册环节反馈意见落实函的回复（2022年630财务数据更新版）,2022-11-23
97,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1204,江西国科军工集团股份有限公司,http://static.sse.com.cn/stock/information/c/202211/283f434e8984496c81419c6aabec6397.pdf,8-1-3 发行人及保荐机构关于审核中心意见落实函的回复,2022-11-23
98,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1204,江西国科军工集团股份有限公司,http://static.sse.com.cn/stock/information/c/202211/1a2d1506f55f4486ad6a91e7d47a603b.pdf,8-4-7 关于江西国科军工集团股份有限公司首次公开发行股票并在科创板上市申请文件第二轮审核问询函回复的修订说明,2022-11-23
99,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1132,深圳佰维存储科技股份有限公司,http://static.sse.com.cn/stock/information/c/202211/4e1ff349963642eebf4e26be90de1bd2.pdf,8-1发行人及保荐机构发行注册环节反馈意见落实函回复意见,2022-11-23
