序号,发行人_链接,发行人,审核问询轮次,文件名称_链接,文件名称,披露日期
17,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=551,安徽壹石通材料科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/9ff1b28a5af543128ddc1840710049b6.pdf,8-1-2 发行人及保荐机构回复意见（二）,2020-09-23
18,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=551,安徽壹石通材料科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202008/c388067033a845ecb1664b26e44524fe.pdf,8-1 发行人及保荐机构回复意见,2020-08-13
19,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=388,安徽元琛环保科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/49d2e72df67d4a6aa3a3e112aa76e03c.pdf,8-1 发行人及保荐机构第二轮审核问询的回复意见,2020-09-11
20,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=388,安徽元琛环保科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202006/e4559e2277224f04a714a9701cb4a1e5.pdf,8-1 发行人及保荐机构回复意见,2020-06-11
21,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=56,安集微电子科技（上海）股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/dbaf564bdc8943ca9bebad53ccf2deb4.pdf,8-1 发行人及保荐机构回复意见,2019-05-17
22,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=56,安集微电子科技（上海）股份有限公司,1,http://static.sse.com.cn/stock/information/c/201904/bab4062af96c49bead557e16e107df84.pdf,8-1 发行人及保荐机构回复意见,2019-04-30
23,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=797,翱捷科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202106/e11aba3d971d4609a742da840020557a.pdf,8-1 发行人及保荐机构第二轮回复意见,2021-06-10
24,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=797,翱捷科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202103/57efe91a24ce4887ae7040645b6475e5.pdf,8-1 发行人及保荐机构回复意见,2021-03-10
25,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=970,奥比中光科技集团股份有限公司,1,http://static.sse.com.cn/stock/information/c/202109/eb9697167ab34e66b3be5622ab55b1ed.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复意见,2021-09-22
26,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=970,奥比中光科技集团股份有限公司,1,http://static.sse.com.cn/stock/information/c/202108/4b87e03339214b5981309cd59d93f6be.pdf,8-1 发行人及保荐机构回复意见,2021-08-20
27,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=583,奥精医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202012/1b1f14e29d154d669a29cc9a7ef7d159.pdf,8-1 发行人及保荐机构第三轮回复意见,2020-12-25
28,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=583,奥精医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202011/a62c2b7cf8184d91bf6dd40547f0e927.pdf,8-1 发行人及保荐机构第二轮回复意见,2020-11-05
29,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=583,奥精医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/2b9d549485b34b33ba04363eac9887d0.pdf,8-1 发行人及保荐机构回复意见(豁免披露版),2020-09-04
30,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=209,百奥泰生物制药股份有限公司,1,http://static.sse.com.cn/stock/information/c/201910/b25d6b1c378648928ceb45f667004f6b.pdf,8-1 百奥泰生物制药股份有限公司及中国国际金融股份有限公司关于第三轮审核问询函的回复,2019-10-27
31,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=209,百奥泰生物制药股份有限公司,1,http://static.sse.com.cn/stock/information/c/201909/6f5b5134a5c942f5b6d0f4e9c01147dc.pdf,8-1 百奥泰生物制药股份有限公司及中国国际金融股份有限公司关于第二轮审核问询函的回复,2019-09-29
32,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=209,百奥泰生物制药股份有限公司,1,http://static.sse.com.cn/stock/information/c/201909/413c0449358047b9a0ea5e4a61696f06.pdf,8-1 百奥泰生物制药股份有限公司及中国国际金融股份有限公司关于审核问询函的回复,2019-09-03
33,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=844,百济神州有限公司,1,http://static.sse.com.cn/stock/information/c/202106/4a70a23635854791a841358a7f9dcb3b.pdf,8-1 发行人及保荐机构关于第二轮问询函回复意见,2021-06-01
34,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=844,百济神州有限公司,1,http://static.sse.com.cn/stock/information/c/202105/9b16d71584d549338b1f2a02bb3c9cf9.pdf,8-1 发行人及保荐机构回复意见,2021-05-14
35,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=555,邦彦技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/202011/add5937828ac4c6489a6618725d0064c.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复意见,2020-11-02
36,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=555,邦彦技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/2556df4c918d44cf8b3e37e341fd4db7.pdf,8-1 发行人及保荐机构回复意见,2020-09-16
37,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=79,北京安博通科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/18075921758c49fa987b2d4464f0e618.pdf,8-1 发行人及保荐机构关于四轮问询函的回复意见,2019-06-28
38,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=79,北京安博通科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/66c244026f694802b5f62042ce00865a.pdf,8-1 发行人及保荐机构关于三轮问询函的回复意见,2019-06-25
39,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=79,北京安博通科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/e4ba73eea0de4ff08984d60d42e06b8e.pdf,8-1 发行人及保荐机构关于二轮问询函的回复意见,2019-05-23
40,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=79,北京安博通科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/09eb6e6b697340c5b18e06074b9981dc.pdf,8-1 发行人及保荐机构回复意见,2019-05-08
41,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=143,北京八亿时空液晶科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201910/3fdb7000365f4d4f97c97944dffe03d1.pdf,8-3 发行人及保荐机构关于第三轮审核问询函的回复（披露版）,2019-10-18
42,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=143,北京八亿时空液晶科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201909/1794a4a6971e47eeb3b87f486ff14b03.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复（披露版）,2019-09-04
43,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=143,北京八亿时空液晶科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201907/e0e3a2ceb716442cb40ae26f004ae553.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2019-07-17
44,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=112,北京佰仁医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201908/7f2399dc3eac488998252a983c8cd1bd.pdf,8-1 国信证券股份有限公司与北京佰仁医疗科技股份有限公司关于首次公开发行股票并在科创板上市申请文件的第五轮问询函的回复,2019-08-13
45,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=112,北京佰仁医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201907/cf159b32b5ef4ad0bdf95b1b1ad8f128.pdf,8-1 国信证券股份有限公司与北京佰仁医疗科技股份有限公司关于第四轮审核问询函的回复,2019-07-17
46,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=112,北京佰仁医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/ff895a277d1849ddbb80d0b342d8af21.pdf,国信证券股份有限公司与北京佰仁医疗科技股份有限公司关于第三轮审核问询函的回复,2019-06-17
47,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=112,北京佰仁医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/95a07b9fe04641cba83d5c8d8b12ed21.pdf,国信证券股份有限公司与北京佰仁医疗科技股份有限公司关于第二轮审核问询函的回复,2019-05-30
48,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=112,北京佰仁医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/fb9f784f37ec421d839a4e219bc16756.pdf,国信证券股份有限公司与北京佰仁医疗科技股份有限公司关于审核问询函的回复,2019-05-10
49,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=843,北京富吉瑞光电科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202105/e7dc90679a7848dcacb790cb56ce846b.pdf,8-1 发行人及保荐机构回复意见（二）,2021-05-24
50,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=843,北京富吉瑞光电科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202104/e01863f6c467406abaa2fbf7409a8852.pdf,8-1 发行人及保荐机构回复意见,2021-04-08
51,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=936,北京格灵深瞳信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/202110/4f7bade963294b30befcf14b9b5d0ce7.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复意见,2021-10-20
52,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=936,北京格灵深瞳信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/202108/3c7e26ad159f4625996c804526cb85d3.pdf,8-1 发行人及保荐机构回复意见,2021-08-25
53,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=102,航天宏图信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/a14d2d2160fa4e37bf3054d1b355c4d6.pdf,北京航天宏图信息技术股份有限公司及国信证券股份有限公司关于第四轮审核问询函的回复,2019-06-17
54,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=102,航天宏图信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/eeb3f57c1db84805b45f91b119cd5aef.pdf,北京航天宏图信息技术股份有限公司及国信证券股份有限公司关于第三轮审核问询函的回复,2019-06-12
55,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=102,航天宏图信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/ea863b87ec134f54aeac7e6ddf427ae9.pdf,北京航天宏图信息技术股份有限公司及国信证券股份有限公司关于第二轮审核问询函的回复,2019-05-27
56,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=102,航天宏图信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/11a6384359374e4f87f5f2edb3d2d044.pdf,北京航天宏图信息技术股份有限公司及国信证券股份有限公司关于审核问询函的回复,2019-05-13
57,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=926,北京浩瀚深度信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/202204/6c269f0f90fb45528ae813e4d622cc5e.pdf,8-1-2 发行人及保荐机构二轮问询函回复意见,2022-04-07
58,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=926,北京浩瀚深度信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/5bc4762b6d194ab1a2d9aa0fb9b2a678.pdf,8-1 发行人及保荐机构回复意见（豁免版）,2022-03-11
59,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=242,北京华峰测控技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201911/f6e8e65bd93148b4b6f3e51ff7fa2e83.pdf,8-1-2 发行人及保荐机构的回复意见（第二轮问询）,2019-11-01
60,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=242,北京华峰测控技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201910/18498567cbcd43ba9e83a4794abe04d1.pdf,8-1 发行人及保荐机构的回复意见,2019-10-07
61,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=204,北京慧辰资道资讯股份有限公司,1,http://static.sse.com.cn/stock/information/c/202004/00c12433672049508aa971597ca7b6e8.pdf,8-1 发行人及保荐机构五轮问询回复意见,2020-04-15
62,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=204,北京慧辰资道资讯股份有限公司,1,http://static.sse.com.cn/stock/information/c/202004/49d731bc64fd4e94a679f57545c9c79d.pdf,8-1发行人及保荐机构四轮问询回复意见,2020-04-08
63,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=204,北京慧辰资道资讯股份有限公司,1,http://static.sse.com.cn/stock/information/c/201912/5c259cf08a1c4d56a778d10165aba8e1.pdf,8-1 发行人及保荐机构三轮问询回复意见,2019-12-31
64,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=204,北京慧辰资道资讯股份有限公司,1,http://static.sse.com.cn/stock/information/c/201911/e9ba812ec4e6448e93613fc54332241e.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复意见,2019-11-06
65,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=204,北京慧辰资道资讯股份有限公司,1,http://static.sse.com.cn/stock/information/c/201909/c8a736cf57894530811c4c5382e22074.pdf,8-1 发行人及保荐机构回复意见,2019-09-24
66,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=278,北京键凯科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202004/c2d71934062c40cbbeff470e3fd0726f.pdf,8-1-4北京键凯科技股份有限公司及中信证券股份有限公司关于第三次审核问询函之回复报告,2020-04-03
67,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=278,北京键凯科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202003/9091c7e148184ba6ba7daf48caad8ae1.pdf,8-1-2 北京键凯科技股份有限公司及中信证券股份有限公司关于第二次审核问询函之回复报告,2020-03-11
68,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=278,北京键凯科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202001/52a9a5ddbafb449ea56ac7bdb2e5c879.pdf,8-1 北京键凯科技股份有限公司及中信证券股份有限公司关于审核问询函之回复报告,2020-01-02
69,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1048,北京金橙子科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202205/81b794b19dd347728038764ca95336ab.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2022-05-09
70,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1048,北京金橙子科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/b9c279777b1c45b29484de3df07c82a5.pdf,8-1发行人及保荐机构回复意见,2022-03-11
71,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=984,北京经纬恒润科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202111/562812b39bd748cf91dafd7e5cf4ee5d.pdf,8-1-2 发行人及保荐机构回复意见（二）,2021-11-10
72,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=984,北京经纬恒润科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202109/14b469fffcba42e6aebafa1838deeba0.pdf,8-1 发行人及保荐机构回复意见,2021-09-03
73,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=798,北京理工导航控制科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202108/120706962352440099101b3f1f40838e.pdf,8-1发行人及保荐机构关于第二轮审核问询函的回复意见,2021-08-16
74,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=798,北京理工导航控制科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202107/c3bb744a154c45a49a074b9c819c5ba2.pdf,8-1 发行人及保荐机构回复意见,2021-07-08
75,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=387,北京青云科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202008/d7d1f30718604d0cac4ac1161e112626.pdf,8-1 发行人及保荐机构回复意见（二）,2020-08-11
76,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=387,北京青云科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202007/e6942324cca545fd861c9028c12490fd.pdf,8-1 发行人及保荐机构回复意见,2020-07-01
77,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=88,北京热景生物技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201907/e4ac77dede164a25a66fccb436936a9b.pdf,8-1 发行人及保荐机构回复意见（四）,2019-07-02
78,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=88,北京热景生物技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/b9e1439d820f45c6879e939472f7809c.pdf,8-1 发行人及保荐机构回复意见（三）,2019-06-17
79,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=88,北京热景生物技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/134a98e00a364282adcb4a959fa93384.pdf,8-1 发行人及保荐机构回复意见（二）,2019-05-24
80,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=88,北京热景生物技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/39c01b5c060447618ffc7f00e4c5b853.pdf,8-1 发行人及保荐机构回复意见,2019-05-07
81,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=325,北京赛科希德科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202005/6ff86ec97c0f448b9fe767293fc29c1f.pdf,8-1 发行人和保荐机构回复意见（二）,2020-05-15
82,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=325,北京赛科希德科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202003/89a9170c1798441aaadeef478ff5cca7.pdf,8-1 发行人和保荐机构回复意见,2020-03-30
83,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=260,北京神州细胞生物技术集团股份公司,1,http://static.sse.com.cn/stock/information/c/202003/b00ca842032e4c3198237774db4234b0.pdf,8-1 发行人及保荐机构关于第三轮审核问询函的回复,2020-03-04
84,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=260,北京神州细胞生物技术集团股份公司,1,http://static.sse.com.cn/stock/information/c/202001/d27928b1abec427fb4e419bd78347046.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2020-01-06
85,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=260,北京神州细胞生物技术集团股份公司,1,http://static.sse.com.cn/stock/information/c/201911/1f5d4faf06f8408ba5adfbd1af734452.pdf,8-1 发行人及保荐机构回复意见,2019-11-28
86,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=42,北京石头世纪科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201910/0f15cbe4d84744a3a6a471364c77ce65.pdf,8-1 发行人及保荐机构回复意见（四）,2019-10-22
87,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=42,北京石头世纪科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201907/39815121d44a442883fb8cc45a50cfb5.pdf,8-1 发行人及保荐机构回复意见（三）,2019-07-15
88,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=42,北京石头世纪科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/19b581800a9840af9b1fe1e144b0854f.pdf,8-1 发行人及保荐机构回复意见（二）,2019-06-11
89,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=42,北京石头世纪科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/3cff2c2b54824d45862a61a2545666b9.pdf,8-1 发行人及保荐机构回复意见,2019-05-09
90,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=109,北京天宜上佳高新材料股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/7fbb3f5b7b8e47d5a462a5ff7cea0297.pdf,北京天宜上佳高新材料股份有限公司及中信建投证券股份有限公司关于第三轮审核问询函的回复,2019-06-02
91,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=109,北京天宜上佳高新材料股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/40eb49849ec746d08461fc12f5bc4f36.pdf,北京天宜上佳高新材料股份有限公司及中信建投证券股份有限公司关于第二轮审核问询函的回复,2019-05-28
92,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=109,北京天宜上佳高新材料股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/ee33a429cf1a4d1b955cd52182e2c8e1.pdf,北京天宜上佳高新材料股份有限公司及中信建投证券股份有限公司关于审核问询函的回复,2019-05-08
93,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=254,北京天智航医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202003/9c0357a793fa4ab48c4a72f4b396f1c3.pdf,北京天智航医疗科技股份有限公司及中信建投证券股份有限公司关于第六轮审核问询函的回复,2020-03-16
94,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=254,北京天智航医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202001/a22371aeb258411eabad034692a6c4e8.pdf,北京天智航医疗科技股份有限公司及中信建投证券股份有限公司关于第五轮审核问询函的回复,2020-01-03
95,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=254,北京天智航医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201912/314d11f2491b45018551bcb76893cb33.pdf,北京天智航医疗科技股份有限公司及中信建投证券股份有限公司关于第四轮审核问询函的回复,2019-12-31
96,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=254,北京天智航医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201912/ca18bcc06307490b87af95fdc4ad55e2.pdf,北京天智航医疗科技股份有限公司及中信建投证券股份有限公司关于第三轮审核问询函的回复,2019-12-13
97,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=254,北京天智航医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201911/f498436bb1c84197aa1a9d07606a71f5.pdf,北京天智航医疗科技股份有限公司及中信建投证券股份有限公司关于第二轮审核问询函的回复,2019-11-12
98,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=254,北京天智航医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201910/9c26ece99ef54503ad44fb2fa57162a8.pdf,北京天智航医疗科技股份有限公司及中信建投证券股份有限公司关于审核问询函的回复,2019-10-11
